,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1,0-2,1-2,2-2,3-2,4-2,5-2,6-2,7-2
10,tv_stand/train/tv_stand_0139_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0139,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
11,tv_stand/test/tv_stand_0341_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0341,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
12,tv_stand/train/tv_stand_0236_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0236,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,tv_stand/train/tv_stand_0072_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0072,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
14,tv_stand/train/tv_stand_0117_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0117,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
15,tv_stand/train/tv_stand_0044_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0044,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
16,tv_stand/train/tv_stand_0087_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0087,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
17,tv_stand/train/tv_stand_0074_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0074,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
18,tv_stand/train/tv_stand_0097_SMPLER_centered_scaled_remeshing_iso_iter13,tv_stand_0097,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
19,tv_stand/test/tv_stand_0284_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0284,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
20,tv_stand/train/tv_stand_0062_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0062,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0,0.0,0.0
21,tv_stand/test/tv_stand_0364_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0364,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,tv_stand/train/tv_stand_0223_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0223,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23
23,tv_stand/test/tv_stand_0292_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0292,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
24,tv_stand/train/tv_stand_0253_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0253,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
25,tv_stand/test/tv_stand_0346_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0346,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,tv_stand/train/tv_stand_0096_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0096,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,tv_stand/train/tv_stand_0260_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0260,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
28,tv_stand/test/tv_stand_0334_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0334,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,tv_stand/train/tv_stand_0118_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0118,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
30,tv_stand/train/tv_stand_0218_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0218,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
31,tv_stand/test/tv_stand_0353_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0353,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,tv_stand/train/tv_stand_0013_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0013,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,tv_stand/train/tv_stand_0153_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0153,0.52,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0
34,tv_stand/train/tv_stand_0032_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0032,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
35,tv_stand/train/tv_stand_0193_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0193,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0
36,tv_stand/train/tv_stand_0159_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0159,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0
37,tv_stand/test/tv_stand_0295_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0295,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
38,tv_stand/test/tv_stand_0278_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0278,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0
39,tv_stand/train/tv_stand_0046_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0046,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
40,tv_stand/train/tv_stand_0150_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0150,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
41,tv_stand/train/tv_stand_0083_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0083,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
42,tv_stand/train/tv_stand_0262_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0262,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
43,tv_stand/train/tv_stand_0076_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0076,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
44,tv_stand/train/tv_stand_0151_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0151,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
45,tv_stand/test/tv_stand_0330_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0330,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,tv_stand/train/tv_stand_0154_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0154,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,tv_stand/train/tv_stand_0054_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0054,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
48,tv_stand/test/tv_stand_0336_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0336,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,tv_stand/train/tv_stand_0035_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0035,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,tv_stand/train/tv_stand_0098_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0098,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
51,tv_stand/test/tv_stand_0299_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0299,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
52,tv_stand/test/tv_stand_0287_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0287,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,tv_stand/train/tv_stand_0080_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0080,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,tv_stand/test/tv_stand_0345_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0345,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
55,tv_stand/train/tv_stand_0251_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0251,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,tv_stand/train/tv_stand_0186_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0186,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,tv_stand/train/tv_stand_0195_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0195,0.0,0.0,0.0,0.04,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
58,tv_stand/train/tv_stand_0261_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0261,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0
59,tv_stand/train/tv_stand_0164_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0164,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
60,tv_stand/test/tv_stand_0335_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0335,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
61,tv_stand/test/tv_stand_0269_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0269,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,tv_stand/test/tv_stand_0349_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0349,0.0,0.0,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0
63,tv_stand/test/tv_stand_0308_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0308,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0
